"rep","N","p","conv_ok"
18,40,0.00530489255006893,TRUE
18,50,5.57863699085431e-07,TRUE
18,60,0.000852473113073606,TRUE
18,80,3.5152041864429e-05,TRUE
18,100,2.39420900572023e-06,TRUE
19,15,0.0149039942930054,TRUE
19,20,0.000137526317440919,TRUE
19,30,0.000743992907113643,TRUE
19,40,0.000868105292037018,TRUE
19,50,0.000577007147261157,TRUE
19,60,0.000148994761491336,TRUE
19,80,8.82980818177838e-06,TRUE
19,100,1.39715748185562e-06,TRUE
20,15,0.0600188502222205,TRUE
20,20,0.0163129179981386,TRUE
20,30,0.00652227653679959,TRUE
20,40,0.00195750907398175,TRUE
20,50,0.000551870403441209,TRUE
20,60,1.83067210821939e-05,TRUE
20,80,4.80524404224201e-06,FALSE
20,100,6.77860088827549e-07,TRUE
21,15,0.0436463799923955,TRUE
21,20,0.0113049537781276,TRUE
21,30,0.0059121688196189,TRUE
21,40,0.00243126291949279,TRUE
21,50,2.00505102872666e-05,FALSE
21,60,0.00134251570383003,TRUE
21,80,1.11797974541752e-05,TRUE
21,100,3.86527127979095e-05,TRUE
22,15,0.0307834428904017,TRUE
22,20,0.970260905024305,TRUE
22,30,0.0540825010489366,TRUE
22,40,8.74388407465856e-05,TRUE
22,50,7.95144503325376e-07,TRUE
22,60,0.000394394561208492,TRUE
22,80,6.07570122662479e-05,TRUE
22,100,0.000141020884082653,TRUE
23,15,0.28193941853783,TRUE
23,20,0.0237021821116964,TRUE
23,30,0.000859718023436882,TRUE
23,40,0.000125921475546188,TRUE
23,50,7.99001561946992e-05,TRUE
23,60,2.23813739245335e-05,TRUE
23,80,1.2373450948428e-06,FALSE
23,100,4.32886268794796e-08,TRUE
24,15,0.264131227506379,TRUE
24,20,0.354784304206166,TRUE
24,30,0.0305267814181921,TRUE
24,40,0.0121889178695063,FALSE
24,50,0.00269904298724952,TRUE
24,60,1.08291207188239e-05,TRUE
24,80,6.64980648495737e-07,TRUE
24,100,1.36549527395246e-05,TRUE
25,15,0.446045322523497,TRUE
25,20,0.578053711376811,FALSE
25,30,0.0467589981266391,FALSE
25,40,1.86220914112347e-05,TRUE
25,50,0.00832655720696541,TRUE
25,60,8.81049361530265e-06,FALSE
25,80,7.87732598386727e-06,TRUE
25,100,8.296522010703e-08,TRUE
26,15,0.155205277298822,TRUE
26,20,0.218772673376976,FALSE
26,30,0.254672217733705,FALSE
26,40,0.0597526044064156,TRUE
26,50,0.0111908297550732,TRUE
26,60,0.0103389908786009,TRUE
26,80,1.65992859923355e-05,TRUE
26,100,2.65492662591166e-06,TRUE
27,15,0.447100584963703,TRUE
27,20,0.00410422535499533,TRUE
27,30,0.0241189860844422,TRUE
27,40,0.3410872484446,TRUE
27,50,0.0359107205402133,TRUE
27,60,0.000986701164326232,TRUE
27,80,0.0150473204885566,TRUE
27,100,0.00467003439175619,TRUE
28,15,7.2482956263255e-05,TRUE
28,20,0.0164248508045052,TRUE
28,30,7.62155017134598e-07,TRUE
28,40,4.31381605496434e-07,TRUE
28,50,6.92010866987699e-06,TRUE
28,60,2.76506605694616e-05,TRUE
28,80,2.85978652128998e-08,TRUE
28,100,6.85099824996791e-09,TRUE
29,15,0.614288698493381,TRUE
29,20,0.00623754456952775,TRUE
29,30,0.0566607412959156,TRUE
29,40,4.08442276849523e-05,TRUE
29,50,0.00521575788396649,FALSE
29,60,2.21814618789732e-06,TRUE
29,80,7.53047381839027e-06,FALSE
29,100,1.62706989728155e-05,TRUE
30,15,0.0132232018807812,TRUE
30,20,0.0209308280799229,TRUE
30,30,0.0098619740540259,TRUE
30,40,0.074857120491559,TRUE
30,50,0.000269933995517796,TRUE
30,60,3.02096618417005e-05,TRUE
30,80,0.000158528759772743,TRUE
30,100,7.7845058441624e-09,TRUE
31,15,NA,TRUE
31,20,0.000182745119046853,TRUE
31,30,3.00948935306123e-06,TRUE
31,40,0.000606312424561547,TRUE
31,50,0.00110265625825428,TRUE
31,60,4.67509447776273e-05,FALSE
31,80,0.000102679676424031,TRUE
31,100,6.5456260904252e-08,TRUE
