concept_id,memorability_bin,image_name,image_filepath,source_path,memorability_score,recognizability,nameability,concreteness_score,memorability_percentile,things_file_path,category27_label,category27_id,things_category,selection_source
yak,mid,yak_09s.jpg,images/yak_09s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/yak/yak_09s.jpg,0.794871795,0.2,0.368421053,4.65,48.825940396843635,yak/yak_09s.jpg,animal,1,animal,milp
chick,mid,chick_06s.jpg,images/chick_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chick/chick_06s.jpg,0.794871795,1.0,1.0,4.93,48.825940396843635,chick/chick_06s.jpg,bird,2,bird,milp
duckling,mid,duckling_03s.jpg,images/duckling_03s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/duckling/duckling_03s.jpg,0.794871795,0.411764706,0.526315789,4.93,48.825940396843635,duckling/duckling_03s.jpg,bird,2,bird,milp
flamingo,mid,flamingo_07s.jpg,images/flamingo_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/flamingo/flamingo_07s.jpg,0.794871795,0.75,1.0,4.81,48.825940396843635,flamingo/flamingo_07s.jpg,bird,2,bird,milp
ostrich,mid,ostrich_18s.jpg,images/ostrich_18s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/ostrich/ostrich_18s.jpg,0.795512821,0.764705882,0.777777778,4.71,50.09576342603233,ostrich/ostrich_18s.jpg,bird,2,bird,milp
parrot,mid,parrot_18s.jpg,images/parrot_18s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/parrot/parrot_18s.jpg,0.795512821,0.785714286,0.894736842,5.0,50.09576342603233,parrot/parrot_18s.jpg,bird,2,bird,milp
penguin,mid,penguin_05s.jpg,images/penguin_05s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/penguin/penguin_05s.jpg,0.794871795,0.916666667,0.941176471,5.0,48.825940396843635,penguin/penguin_05s.jpg,bird,2,bird,milp
chin,mid,chin_09s.jpg,images/chin_09s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chin/chin_09s.jpg,0.794871795,0.588235294,0.875,4.89,48.825940396843635,chin/chin_09s.jpg,body part,3,body part,milp
eye,mid,eye_02s.jpg,images/eye_02s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/eye/eye_02s.jpg,0.794871795,0.846153846,0.944444444,4.9,48.825940396843635,eye/eye_02s.jpg,body part,3,body part,milp
foot,mid,foot_01b.jpg,images/foot_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/foot/foot_01b.jpg,0.8,0.545454545,1.0,4.9,51.90569217804336,foot/foot_01b.jpg,body part,3,body part,milp
mouth,mid,mouth_01b.jpg,images/mouth_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/mouth/mouth_01b.jpg,0.794871795,0.166666667,0.111111111,4.74,48.825940396843635,mouth/mouth_01b.jpg,body part,3,body part,milp
skin,mid,skin_04s.jpg,images/skin_04s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/skin/skin_04s.jpg,0.794871795,0.941176471,0.9375,4.79,48.825940396843635,skin/skin_04s.jpg,body part,3,body part,milp
skull,mid,skull_10s.jpg,images/skull_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/skull/skull_10s.jpg,0.8,0.615384615,0.95,4.83,51.90569217804336,skull/skull_10s.jpg,body part,3,body part,milp
cloak,mid,cloak_13s.jpg,images/cloak_13s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cloak/cloak_13s.jpg,0.795454545,0.375,0.5625,4.71,49.99233892591741,cloak/cloak_13s.jpg,clothing,4,clothing,milp
clothes,mid,clothes_12s.jpg,images/clothes_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/clothes/clothes_12s.jpg,0.794871795,0.5,0.6,4.76,48.825940396843635,clothes/clothes_12s.jpg,clothing,4,clothing,milp
hat,mid,hat_01b.jpg,images/hat_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/hat/hat_01b.jpg,0.794871795,0.928571429,0.888888889,4.88,48.825940396843635,hat/hat_01b.jpg,clothing,4,clothing,milp
jumpsuit,mid,jumpsuit_13s.jpg,images/jumpsuit_13s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/jumpsuit/jumpsuit_13s.jpg,0.795454545,0.3125,0.3,4.82,49.99233892591741,jumpsuit/jumpsuit_13s.jpg,clothing,4,clothing,milp
leggings,mid,leggings_12s.jpg,images/leggings_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/leggings/leggings_12s.jpg,0.794871795,0.384615385,0.705882353,4.86,48.825940396843635,leggings/leggings_12s.jpg,clothing,4,clothing,milp
slipper,mid,slipper_06s.jpg,images/slipper_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/slipper/slipper_06s.jpg,0.795454545,0.75,0.947368421,4.86,49.99233892591741,slipper/slipper_06s.jpg,clothing,4,clothing,milp
